industry,n_firms,ev_ebitda_rd_pos,ev_ebitda_pos,ev_ebit_pos,ev_nopat_pos,ev_ebitda_rd_all,ev_ebitda_all,ev_ebit_all,ev_nopat_all
Real Estate (General/Diversified),12.0,17.29,17.29,26.87,34.26,25.11,25.11,30.9,39.4
Real Estate (Operations & Services),54.0,17.86,21.95,49.59,63.8,27.15,36.95,53.0,68.19
Recreation,49.0,9.01,10.39,23.96,28.19,9.96,11.66,24.08,28.34
Reinsurance,1.0,8.67,8.67,9.02,12.95,10.94,10.94,9.02,12.95
Restaurant/Dining,64.0,16.97,17.49,30.15,38.86,20.62,21.4,30.2,38.92
Retail (Automotive),34.0,14.78,14.79,21.73,27.54,17.54,17.56,21.76,27.58
Retail (Building Supply),14.0,14.29,14.42,19.1,25.19,15.74,15.89,19.11,25.21
Retail (Distributors),62.0,13.68,13.71,17.11,22.15,16.62,16.66,18.36,23.77
Retail (General),23.0,12.15,17.38,32.44,40.58,13.75,20.87,32.44,40.58
Retail (Grocery and Food),15.0,8.58,8.94,26.53,31.34,8.69,9.07,26.55,31.36
Retail (REITs),26.0,16.72,16.73,31.17,31.91,17.93,17.93,31.17,31.91
Retail (Special Lines),94.0,11.4,11.47,20.02,26.66,16.36,16.5,20.13,26.81
Rubber& Tires,3.0,5.32,6.74,22.84,22.84,5.32,6.74,22.89,22.89
Semiconductor,66.0,25.91,34.75,44.3,51.53,30.12,42.7,44.46,51.72
Semiconductor Equip,31.0,18.33,24.74,28.81,34.56,19.12,26.18,28.94,34.72
Shipbuilding & Marine,8.0,7.95,7.95,12.81,16.06,8.51,8.51,12.84,16.1
Shoe,11.0,16.68,16.86,22.32,26.75,16.99,17.19,22.33,26.77
Software (Entertainment),77.0,15.17,22.01,26.98,35.01,17.06,26.16,27.11,35.19
Software (Internet),29.0,15.73,30.26,172.99,,32.66,100.45,,
Software (System & Application),309.0,17.96,24.48,32.41,39.91,21.98,31.75,34.36,42.3
Steel,19.0,11.59,11.59,24.56,33.71,11.05,11.05,28.47,39.08
Telecom (Wireless),12.0,8.96,8.97,18.83,24.42,10.73,10.75,18.83,24.43
Telecom. Equipment,57.0,15.68,24.07,30.86,36.85,17.01,27.2,31.15,37.19
Telecom. Services,39.0,6.46,6.54,12.22,15.11,7.44,7.54,12.56,15.53
Tobacco,10.0,13.05,13.46,14.63,18.59,14.64,15.15,14.64,18.6
Transportation,19.0,11.46,12.55,21.45,26.02,14.81,16.69,21.46,26.02
Transportation (Railroads),4.0,13.49,13.49,17.81,22.95,13.55,13.55,17.81,22.95
Trucking,26.0,10.33,10.41,23.81,31.52,11.09,11.19,23.83,31.55
Utility (General),14.0,13.73,13.73,22.63,26.11,15.04,15.04,22.63,26.11
Utility (Water),14.0,14.13,14.14,21.08,24.96,15.64,15.65,21.27,25.18
